Verb	BuilderFullName	Method	BodyType	ReturnType	QpProperties
PostAsync	Microsoft.PowerPlatform.Management.Analytics.Actions.Item.WithActionNameItemRequestBuilder	PostAsync(AdvisorActionRequest body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.AdvisorActionRequest	Task`1<AdvisorActionResponse>	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Appmanagement.Environments.Item.ApplicationPackages.Item.Install.InstallRequestBuilder	PostAsync(TpsInstallRequestPayload body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.TpsInstallRequestPayload	Task`1<InstancePackage>	ApiVersion
DeleteAsync	Microsoft.PowerPlatform.Management.Authorization.RoleAssignments.Item.WithRoleAssignmentItemRequestBuilder	DeleteAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Authorization.RoleAssignments.RoleAssignmentsRequestBuilder	PostAsync(RoleAssignmentRequest body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.RoleAssignmentRequest	Task`1<RoleAssignmentResponse>	ApiVersion
DeleteAsync	Microsoft.PowerPlatform.Management.Copilotstudio.Environments.Item.Bots.Item.Api.BotAdminOperations.BotAdminOperationsRequestBuilder	DeleteAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task`1<Stream>	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Copilotstudio.Environments.Item.Bots.Item.Api.BotQuarantine.SetAsQuarantined.SetAsQuarantinedRequestBuilder	PostAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task`1<BotQuarantineStatus>	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Copilotstudio.Environments.Item.Bots.Item.Api.BotQuarantine.SetAsUnquarantined.SetAsUnquarantinedRequestBuilder	PostAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task`1<BotQuarantineStatus>	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Environmentmanagement.EnvironmentGroups.EnvironmentGroupsRequestBuilder	PostAsync(EnvironmentGroup body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.EnvironmentGroup	Task`1<EnvironmentGroup>	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Environmentmanagement.EnvironmentGroups.Item.AddEnvironment.Item.WithEnvironmentItemRequestBuilder	PostAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Environmentmanagement.EnvironmentGroups.Item.RemoveEnvironment.Item.WithEnvironmentItemRequestBuilder	PostAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task	ApiVersion
DeleteAsync	Microsoft.PowerPlatform.Management.Environmentmanagement.EnvironmentGroups.Item.WithGroupItemRequestBuilder	DeleteAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task	ApiVersion
PutAsync	Microsoft.PowerPlatform.Management.Environmentmanagement.EnvironmentGroups.Item.WithGroupItemRequestBuilder	PutAsync(EnvironmentGroup body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.EnvironmentGroup	Task`1<EnvironmentGroup>	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Environmentmanagement.Environments.Item.Backups.BackupsRequestBuilder	PostAsync(CreateBackupRequest body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.CreateBackupRequest	Task`1<EnvironmentBackup>	ApiVersion
DeleteAsync	Microsoft.PowerPlatform.Management.Environmentmanagement.Environments.Item.Backups.Item.WithBackupItemRequestBuilder	DeleteAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Environmentmanagement.Environments.Item.Copy.CopyRequestBuilder	PostAsync(CopyRequest body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.CopyRequest	Task	ApiVersion,ValidateOnly,ValidateProperties
PostAsync	Microsoft.PowerPlatform.Management.Environmentmanagement.Environments.Item.Disable.DisableRequestBuilder	PostAsync(StateChangeRequest body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.StateChangeRequest	Task	ApiVersion,ValidateOnly,ValidateProperties
PostAsync	Microsoft.PowerPlatform.Management.Environmentmanagement.Environments.Item.DisableDisasterRecovery.DisableDisasterRecoveryRequestBuilder	PostAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task`1<OperationExecutionResult>	ApiVersion,ValidateOnly,ValidateProperties
PostAsync	Microsoft.PowerPlatform.Management.Environmentmanagement.Environments.Item.DisasterRecoveryDrill.DisasterRecoveryDrillRequestBuilder	PostAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task`1<OperationExecutionResult>	ApiVersion,ValidateOnly,ValidateProperties
PostAsync	Microsoft.PowerPlatform.Management.Environmentmanagement.Environments.Item.Enable.EnableRequestBuilder	PostAsync(StateChangeRequest body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.StateChangeRequest	Task	ApiVersion,ValidateOnly,ValidateProperties
PostAsync	Microsoft.PowerPlatform.Management.Environmentmanagement.Environments.Item.EnableDisasterRecovery.EnableDisasterRecoveryRequestBuilder	PostAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task`1<OperationExecutionResult>	ApiVersion,ValidateOnly,ValidateProperties
DeleteAsync	Microsoft.PowerPlatform.Management.Environmentmanagement.Environments.Item.EnvironmentItemRequestBuilder	DeleteAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task	ApiVersion,ValidateOnly,ValidateProperties
PostAsync	Microsoft.PowerPlatform.Management.Environmentmanagement.Environments.Item.ForceFailover.ForceFailoverRequestBuilder	PostAsync(ForceFailoverRequest body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.ForceFailoverRequest	Task`1<OperationExecutionResult>	ApiVersion,ValidateOnly,ValidateProperties
PostAsync	Microsoft.PowerPlatform.Management.Environmentmanagement.Environments.Item.Governancesetting.Disablemanaged.DisablemanagedRequestBuilder	PostAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task`1<OperationExecutionResult>	ApiVersion,ValidateOnly,ValidateProperties
PostAsync	Microsoft.PowerPlatform.Management.Environmentmanagement.Environments.Item.Governancesetting.Enablemanaged.EnablemanagedRequestBuilder	PostAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task`1<OperationExecutionResult>	ApiVersion,ValidateOnly,ValidateProperties
PostAsync	Microsoft.PowerPlatform.Management.Environmentmanagement.Environments.Item.ModifySku.ModifySkuRequestBuilder	PostAsync(ModifyEnvironmentSkuRequest body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.ModifyEnvironmentSkuRequest	Task`1<OperationExecutionResult>	ApiVersion,ValidateOnly,ValidateProperties
PostAsync	Microsoft.PowerPlatform.Management.Environmentmanagement.Environments.Item.Recover.RecoverRequestBuilder	PostAsync(Action`1 requestConfiguration, CancellationToken cancellationToken)	-	Task	ApiVersion,ValidateOnly,ValidateProperties
PostAsync	Microsoft.PowerPlatform.Management.Environmentmanagement.Environments.Item.Restore.RestoreRequestBuilder	PostAsync(EnvironmentRestoreRequest body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Models.EnvironmentRestoreRequest	Task	ApiVersion,ValidateOnly,ValidateProperties
PatchAsync	Microsoft.PowerPlatform.Management.Environmentmanagement.Environments.Item.Settings.SettingsRequestBuilder	PatchAsync(SettingsPatchRequestBody body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Environmentmanagement.Environments.Item.Settings.SettingsPatchRequestBody	Task`1<OperationResponse>	ApiVersion
PostAsync	Microsoft.PowerPlatform.Management.Environmentmanagement.Environments.Item.Settings.SettingsRequestBuilder	PostAsync(SettingsPostRequestBody body, Action`1 requestConfiguration, CancellationToken cancellationToken)	Microsoft.PowerPlatform.Management.Environmentmanagement.Environments.Item.Settings.SettingsPostRequestBody	Task`1<CreateEnvironmentManagementSettingResponse>	ApiVersion
